08/03/2021 08:14,Chesterfield,James Stathopoulos," Flat white - 2.15, Large Flavoured latte - Vanilla - 2.85, Regular Espresso - 1.50, Regular Latte - 2.15",8.65,CARD,4175533418235629
08/03/2021 08:15,Chesterfield,Barbara Hernandez," Cortado - 2.05,  Speciality Tea - Peppermint - 1.30",3.35,CARD,6011565955571597
08/03/2021 08:17,Chesterfield,Tina Krout,"Large Luxury hot chocolate - 2.70, Regular Flavoured latte - Gingerbread - 2.55",5.25,CARD,6011586819141732
08/03/2021 08:19,Chesterfield,Christopher Longhurst," Speciality Tea - Earl Grey - 1.30, Regular Espresso - 1.50",2.80,CARD,6011263491268171
08/03/2021 08:21,Chesterfield,Glenn Walker,"Large Luxury hot chocolate - 2.70,  Cortado - 2.05,  Flat white - 2.15,  Hot Chocolate - 1.40, Large Flavoured hot chocolate - Hazelnut - 2.90",11.20,CARD,4199574227749618
08/03/2021 08:22,Chesterfield,Cherise Young,"Regular Flavoured hot chocolate - Caramel - 2.60, Large Luxury hot chocolate - 2.70,  Flavoured iced latte - Caramel - 2.75, Large Flavoured latte - Hazelnut - 2.85,  Speciality Tea - Fruit - 1.30",12.20,CARD,6011577623822674
08/03/2021 08:24,Chesterfield,Terri Robinson," Flavoured iced latte - Caramel - 2.75, Large Latte - 2.45,  Smoothies - Carrot Kick - 2.00, Regular Luxury hot chocolate - 2.40",9.60,CARD,6011672729242834
08/03/2021 08:26,Chesterfield,Marilyn Garrard, Flavoured iced latte - Caramel - 2.75,2.75,CASH,
08/03/2021 08:28,Chesterfield,Janette Hill," Speciality Tea - English breakfast - 1.30,  Glass of milk - 0.70",2.00,CARD,5465795574521573
08/03/2021 08:29,Chesterfield,Delilah Pope,"Regular Flavoured latte - Gingerbread - 2.55,  Smoothies - Glowing Greens - 2.00, Large Cappuccino - 2.45,  Speciality Tea - Fruit - 1.30",8.30,CARD,4629549951954
08/03/2021 08:31,Chesterfield,Bonnie Munari,"Regular Americano - 1.95,  Speciality Tea - Darjeeling - 1.30,  Speciality Tea - Darjeeling - 1.30, Large Flavoured hot chocolate - Hazelnut - 2.90",7.45,CARD,6011185718439584
08/03/2021 08:33,Chesterfield,Jose Young," Iced americano - 2.15, Regular Flavoured latte - Hazelnut - 2.55,  Speciality Tea - Fruit - 1.30, Large Flavoured latte - Vanilla - 2.85, Large Americano - 2.25",11.10,CASH,
08/03/2021 08:35,Chesterfield,Quinton Melchior,"Regular Flavoured hot chocolate - Caramel - 2.60,  Iced latte - 2.35,  Flavoured iced latte - Caramel - 2.75",7.70,CASH,
08/03/2021 08:36,Chesterfield,Brenda Delgadillo," Hot Chocolate - 1.40,  Red Label tea - 1.20, Large Latte - 2.45, Large Filter coffee - 1.80",6.85,CARD,52311227923371910
08/03/2021 08:38,Chesterfield,Ronald Harrington,"Large Latte - 2.45,  Smoothies - Carrot Kick - 2.00",4.45,CASH,
08/03/2021 08:40,Chesterfield,Edwin Rollins," Iced latte - 2.35,  Red Label tea - 1.20,  Speciality Tea - Peppermint - 1.30",4.85,CARD,346642971656428
08/03/2021 08:42,Chesterfield,Lisa Leef,Large Latte - 2.45,2.45,CASH,
08/03/2021 08:43,Chesterfield,Bessie Myers," Speciality Tea - Darjeeling - 1.30,  Speciality Tea - Camomile - 1.30",2.60,CASH,
08/03/2021 08:45,Chesterfield,Paula Lee,"Large Espresso - 1.80,  Glass of milk - 0.70,  Red Label tea - 1.20",3.70,CARD,5362262168915863
08/03/2021 08:47,Chesterfield,Mary Vandyke, Iced latte - 2.35,2.35,CASH,
08/03/2021 08:49,Chesterfield,Richard Mendoza," Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Gingerbread - 2.85, Large Luxury hot chocolate - 2.70",8.30,CASH,
08/03/2021 08:50,Chesterfield,Lashanda Thompson," Mocha - 2.30,  Flavoured iced latte - Vanilla - 2.75,  Speciality Tea - Peppermint - 1.30, Large Espresso - 1.80",8.15,CARD,6011731147756914
08/03/2021 08:52,Chesterfield,Marc Antoine,"Large Latte - 2.45,  Flat white - 2.15, Large Cappuccino - 2.45,  Frappes - Chocolate Cookie - 2.75, Regular Espresso - 1.50",11.30,CASH,
08/03/2021 08:54,Chesterfield,Velma Hill, Iced latte - 2.35,2.35,CARD,346528774148293
08/03/2021 08:56,Chesterfield,Donna Whitney,Large Flavoured latte - Caramel - 2.85,2.85,CARD,4582378759228487
08/03/2021 08:57,Chesterfield,Orpha Hutcherson," Speciality Tea - Fruit - 1.30,  Mocha - 2.30",3.60,CASH,
08/03/2021 08:59,Chesterfield,Vera Shawver," Smoothies - Berry Beautiful - 2.00,  Babyccino - 0.00,  Flavoured iced latte - Hazelnut - 2.75",4.75,CASH,
08/03/2021 09:01,Chesterfield,Tara Shook,Large Latte - 2.45,2.45,CASH,
08/03/2021 09:03,Chesterfield,Mike Sievers," Flat white - 2.15,  Babyccino - 0.00, Large Chai latte - 2.60, Large Flavoured latte - Caramel - 2.85, Large Flavoured latte - Gingerbread - 2.85",10.45,CARD,364422648999684
08/03/2021 09:04,Chesterfield,Sean Grant,"Large Latte - 2.45,  Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured latte - Vanilla - 2.55,  Red Label tea - 1.20",8.95,CASH,
08/03/2021 09:06,Chesterfield,Gretchen Acoff," Flavoured iced latte - Hazelnut - 2.75,  Cortado - 2.05,  Flavoured iced latte - Caramel - 2.75",7.55,CARD,4622548439444
08/03/2021 09:08,Chesterfield,Thomas Chitwood,"Regular Luxury hot chocolate - 2.40,  Smoothies - Carrot Kick - 2.00, Large Filter coffee - 1.80,  Speciality Tea - Fruit - 1.30",7.50,CARD,4561846487335
08/03/2021 09:10,Chesterfield,Gertrude Abadi," Red Label tea - 1.20, Large Cappuccino - 2.45,  Babyccino - 0.00,  Glass of milk - 0.70, Large Filter coffee - 1.80",6.15,CARD,364362763615618
08/03/2021 09:12,Chesterfield,Warren Linch,"Large Flavoured latte - Caramel - 2.85,  Mocha - 2.30",5.15,CARD,4948187147331
08/03/2021 09:13,Chesterfield,Marilyn Dean," Smoothies - Berry Beautiful - 2.00,  Speciality Tea - English breakfast - 1.30,  Flavoured iced latte - Vanilla - 2.75",6.05,CASH,
08/03/2021 09:15,Chesterfield,Paul Peredo,Large Flavoured hot chocolate - Vanilla - 2.90,2.90,CASH,
08/03/2021 09:17,Chesterfield,Patricia Smith,Regular Luxury hot chocolate - 2.40,2.40,CASH,
08/03/2021 09:19,Chesterfield,Bradley Talley," Flavoured iced latte - Vanilla - 2.75, Large Filter coffee - 1.80,  Flavoured iced latte - Caramel - 2.75,  Smoothies - Glowing Greens - 2.00,  Mocha - 2.30",11.60,CARD,4431992154477185
08/03/2021 09:20,Chesterfield,Keith Salgado," Speciality Tea - Green - 1.30,  Speciality Tea - Earl Grey - 1.30,  Frappes - Chocolate Cookie - 2.75",5.35,CASH,
08/03/2021 09:22,Chesterfield,Doris Earls,"Large Americano - 2.25, Large Espresso - 1.80,  Speciality Tea - Peppermint - 1.30",5.35,CARD,6011422256576513
08/03/2021 09:24,Chesterfield,Sara Talley,"Regular Flavoured latte - Gingerbread - 2.55,  Flavoured iced latte - Vanilla - 2.75,  Flavoured iced latte - Hazelnut - 2.75, Large Flavoured hot chocolate - Vanilla - 2.90,  Frappes - Strawberries & Cream - 2.75",13.70,CASH,
08/03/2021 09:26,Chesterfield,Pamela Hill, Speciality Tea - Darjeeling - 1.30,1.30,CASH,
08/03/2021 09:27,Chesterfield,Yolanda Casey, Speciality Tea - English breakfast - 1.30,1.30,CARD,47181731189710
08/03/2021 09:29,Chesterfield,Walter Torres," Flavoured iced latte - Caramel - 2.75,  Flavoured iced latte - Vanilla - 2.75,  Cortado - 2.05, Regular Luxury hot chocolate - 2.40",9.95,CARD,4592421364961775
08/03/2021 09:31,Chesterfield,Susan Gibler," Glass of milk - 0.70,  Flat white - 2.15",2.85,CARD,5493696712543378
